Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,Average Length (cm),Number Stocked,Stocking Date
Mitchell Lake,,NE25-37-8-W5,RNTR,Campbell Lake,3N,20.3,1000,6-May-24
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Campbell Lake,3N,20.6,1500,22-Apr-24
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Campbell Lake,2N,45.1,40,16-May-24
Phyllis Lake,,SE17-36-7-W5,RNTR,Campbell Lake,3N,20.3,5000,6-May-24
Reesor Lake,,NW20-8-1-W4,RNTR,Campbell Lake,2N,20.1,6400,24-Apr-24
Rocky Children's Pond,,SW33-39-7-W5,RNTR,Campbell Lake,2N,45.1,10,13-May-24
Rocky Children's Pond,,SW33-39-7-W5,RNTR,Campbell Lake,3N,27.7,250,13-May-24
Salter's Lake,,SW26-54-2-W5,RNTR,Campbell Lake,2N,20.1,2332,1-May-24
Salter's Lake,,SW26-54-2-W5,RNTR,Campbell Lake,2N,19.2,668,1-May-24
Sardine Lake,,SW5-49-4-W5,RNTR,Campbell Lake,3N,20.8,1250,1-May-24
Sauer Lake,,NE28-53-1-W5,RNTR,Campbell Lake,2N,20.3,2400,1-May-24
Schuman Lake,,SE35-61-8-W5,RNTR,Campbell Lake,2N,10.2,7500,13-May-24
Schuman Lake,,SE35-61-8-W5,RNTR,Campbell Lake,2N,21,1556,16-May-24
Schuman Lake,,SE35-61-8-W5,RNTR,Campbell Lake,2N,20,4744,16-May-24
Shunda Lake,Fish Lake,SW19-40-15-W5,RNTR,Campbell Lake,3N,20.1,7644,7-May-24
Shunda Lake,Fish Lake,SW19-40-15-W5,RNTR,Campbell Lake,3N,20.3,2356,7-May-24
Spring Lake,Cottage,SW30-52-1-W5,RNTR,Campbell Lake,2N,20.1,4000,1-May-24
Spring Lake,Cottage,SW30-52-1-W5,RNTR,Campbell Lake,2N,10.1,7500,16-May-24
Star Lake,,NE19-52-2-W5,RNTR,Campbell Lake,2N,20.4,3216,30-Apr-24
Strubel Lake,,SW30-37-7-W5,RNTR,Campbell Lake,3N,20.2,6400,6-May-24
Sulphur Lake,,NW7-89-2-W6,RNTR,Campbell Lake,3N,20,3750,27-May-24
Swan Lake,,SW18-70-25-W5,RNTR,Campbell Lake,3N,19.3,7500,17-May-24
Twin Lakes,East Twin Lake,NE29-97-22-W5,RNTR,Campbell Lake,2N,20,1680,14-May-24
Twin Lakes,,SW6-40-7-W5,RNTR,Campbell Lake,3N,20,3500,2-May-24
Twin Lakes,,SW6-40-7-W5,RNTR,Campbell Lake,2N,35.1,26,8-May-24
Unnamed,Acadia Valley Reservoir,SW5-25-2-W4,RNTR,Campbell Lake,2N,20.2,2000,23-Apr-24
Unnamed,Ardmore Community Pond,NW1-62-4-W4,RNTR,Campbell Lake,2N,20,160,3-May-24
Unnamed,"Ashland
Reservoir",NW17-48-3-W5,RNTR,Campbell Lake,2N,20,3200,29-Apr-24
Unnamed,"Atlantic Richfield
Reservoir",NE29-67-9-W5,RNTR,Campbell Lake,2N,20.2,1220,16-May-24
Unnamed,Bellis Beach Lake,SE15-59-15-W4,RNTR,Campbell Lake,2N,20,5600,2-May-24
Unnamed,Black Nugget Mine Pit,NW11-49-18-W4,RNTR,Campbell Lake,2N,20.1,5000,18-Apr-24
Unnamed,Brooks Aquaduct Pond,NE15-18-14-W4,RNTR,Campbell Lake,2N,20.4,4000,15-Apr-24
Unnamed,"Brooks Aquaduct
Pond",NE15-18-14-W4,RNTR,Campbell Lake,2N,9.9,10000,16-May-24
Unnamed,Brooks Aquaduct Pond,NE15-18-14-W4,RNTR,Campbell Lake,2N,20.1,4885,16-May-24
Unnamed,By The Lake Park,SW22-46-24-W4,RNTR,Campbell Lake,2N,20.7,2000,29-Apr-24
Unnamed,Cardiff Park Pond,SW24-55-25-W4,RNTR,Campbell Lake,2N,20,4600,30-Apr-24
Unnamed,Cardiff Park Pond,SW24-55-25-W4,RNTR,Campbell Lake,2N,9.9,10000,15-May-24
Unnamed,Coronation Reservoir,SW24-36-11-W4,RNTR,Campbell Lake,2N,19.9,2120,17-Apr-24
Unnamed,Coronation Reservoir,SW24-36-11-W4,RNTR,Campbell Lake,2N,10.3,5000,16-May-24
Unnamed,Diplomat Mine Pond,NW1-41-16-W4,RNTR,Campbell Lake,2N,20.3,2000,18-Apr-24
Unnamed,"Diplomat Mine
Pond",NW1-41-16-W4,RNTR,Campbell Lake,2N,43.2,30,25-Apr-24
Unnamed,Diplomat Mine Pond,NW1-41-16-W4,RNTR,Campbell Lake,2N,35.1,55,6-May-24
Unnamed,East Pit Lake,SE23-53-4-W5,RNTR,Campbell Lake,2N,10.5,7000,15-May-24
Unnamed,Elk Point Pond,NW36-56-7-W4,RNTR,Campbell Lake,2N,19.5,360,3-May-24
Unnamed,Highway 63 Pond,NE35-87-9-W4,RNTR,Campbell Lake,2N,20.1,400,10-May-24
Unnamed,Hiller's Reservoir,SE13-32-29-W4,RNTR,Campbell Lake,2N,20,3000,19-Apr-24
Unnamed,Huber Reservoir,SW36-37-13-W4,RNTR,Campbell Lake,2N,20,2400,17-Apr-24
Unnamed,Kerbe's Pond,NE19-36-20-W4,RNTR,Campbell Lake,2N,55.2,15,25-Apr-24
Unnamed,Lara Fish Pond,NE25-61-5-W4,RNTR,Campbell Lake,2N,20,160,3-May-24
Unnamed,Leduc Reservoir,NE27-49-25-W4,RNTR,Campbell Lake,2N,20.7,1310,29-Apr-24
Unnamed,Leduc Reservoir,NE27-49-25-W4,RNTR,Campbell Lake,2N,20,690,29-Apr-24
Unnamed,Lloydminster Pond,SE6-50-1-W4,RNTR,Campbell Lake,2N,20,200,3-May-24
Unnamed,Mile 07 Lake,NE35-69-14-W4,RNTR,Campbell Lake,2N,20.1,4400,10-May-24
