Waterbody Official,Waterbody,ATS,Species,Strain* Genotype**,,Average,Number,Stocking Date
Unnamed,Md Peace Pond,SW27-83-23-W5,RNTR,Riverence,AF2N,23.6,1000,2025-05-13
Blood Indian Creek,,SW28-26-9-W4,BNTR,Bow River,3N,17.9,7500,2025-04-24
Blood Indian Creek,,SW28-26-9-W4,TGTR,Beitty/Bow River,3N,22.2,7500,2025-04-29
Blood Indian Creek,,SW28-26-9-W4,RNTR,Riverence,AF2N,22.3,7000,2025-04-29
Blood Indian Creek,,SW28-26-9-W4,RNTR,Campbell Lake,2N,20,10000,2025-05-09
Blood Indian Creek,,SW28-26-9-W4,WALL,Lac Ste. Anne,2N,11.9,183,2025-09-18
Blood Indian Creek,,SW28-26-9-W4,WALL,Lac Ste. Anne,2N,12.1,96,2025-09-19
Blood Indian Creek,,SW28-26-9-W4,WALL,Lac Ste. Anne,2N,11.7,1000,2025-09-25
Blood Indian Creek,,SW28-26-9-W4,RNTR,Campbell Lake,2N,19.8,9590,2025-10-02
Blood Indian Creek,,SW28-26-9-W4,RNTR,Campbell Lake,2N,21.4,5910,2025-10-02
Blood Indian Creek,,SW28-26-9-W4,RNTR,Campbell Lake,2N,20.5,5414,2025-10-06
Blood Indian Creek,,SW28-26-9-W4,RNTR,Riverence,AF3N,11.8,2500,2025-10-09
Blood Indian Creek,,SW28-26-9-W4,BNTR,Bow River,3N,9.7,3395,2025-10-09
Blood Indian Creek,,SW28-26-9-W4,RNTR,Campbell Lake,3N,19.7,10766,2025-10-14
Hinton F & G Pond Hinton Borrow Pit,,SW28-50-25-W5,RNTR,Riverence,AF3N,23.7,300,2025-05-20
Beauvais Lake,,SW29-5-1-W5,CTTR,Allison Creek,2N,12.3,16000,2025-04-25
Unnamed,Stirling Children's,SW29-6-19-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.3,1000,2025-05-01
Cavan Lake,,SW30-11-3-W4,RNTR,Riverence,AF3N,20,2351,2025-05-15
Cavan Lake,,SW30-11-3-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20.1,9817,2025-05-15
Strubel Lake,,SW30-37-7-W5,RNTR,Riverence,AF3N,20.1,12800,2025-05-06
Spring Lake,Cottage,SW30-52-1-W5,BNTR,Bow River,3N,19.6,500,2025-05-05
Spring Lake,Cottage,SW30-52-1-W5,RNTR,Campbell Lake,2N,20.9,10000,2025-05-06
Spring Lake,Cottage,SW30-52-1-W5,TGTR,Bow River,3N,22.5,1500,2025-05-06
Spring Lake,Cottage,SW30-52-1-W5,RNTR,Campbell Lake,2N,19.2,5000,2025-09-24
Unnamed,Wildwood Pond,SW30-53-9-W5,RNTR,Riverence,AF3N,23.7,1500,2025-05-14
Wildhorse Lakes,Lower Wildhorse,SW31-49-26-W5,RNTR,Trout/Lodge/Kamloops,AF3N,17.7,7500,2025-05-26
Wildhorse Lakes,Lower Wildhorse,SW31-49-26-W5,RNTR,Trout/Lodge/Kamloops,AF3N,17.7,7500,2025-05-26
Wildhorse Lakes,Upper Wildhorse,SW31-49-26-W5,BKTR,Beitty Resort,3N,5.1,2500,2025-05-20
Unnamed,Nordegg Borrow,SW32-40-15-W5,RNTR,Riverence,AF3N,23,400,2025-05-29
Unnamed,McClennan,SW32-77-19-W5,RNTR,Riverence,AF2N,23.6,500,2025-05-12
Unnamed,McVinnie,SW33-12-21-W4,TGTR,Beitty/Bow River,3N,19.9,400,2025-04-11
Unnamed,McVinnie,SW33-12-21-W4,RNTR,Riverence,AF2N,22.7,1155,2025-04-15
Unnamed,McVinnie,SW33-12-21-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.6,1645,2025-06-04
Travers Reservoir,,SW33-14-21-W4,WALL,Lac Ste. Anne,2N,0.4,393337,2025-05-19
Travers Reservoir,,SW33-14-21-W4,WALL,Lac Ste. Anne,2N,0.4,427632,2025-05-20
Travers Reservoir,,SW33-14-21-W4,WALL,Lac Ste. Anne,2N,0.4,668628,2025-05-21
Yellowhead Lake,,SW33-34-6-W5,BKTR,Beitty Resort,3N,20.3,4000,2025-06-04
Rocky Children's Pond,,SW33-39-7-W5,RNTR,Riverence,AF3N,23,500,2025-05-09
Rocky Children's Pond,,SW33-39-7-W5,RNTR,Riverence,AF3N,25.3,550,2025-08-22
Winagami Lake,,SW33-76-18-W5,WALL,Rock Island,2N,0.4,3293262,2025-05-29
Winagami Lake,,SW33-76-18-W5,WALL,Rock Island,2N,0.4,458439,2025-06-04
Winagami Lake,,SW33-76-18-W5,WALL,Rock Island,2N,0.4,533860,2025-06-07
Unnamed,Irma Fish and,SW34-45-9-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20.3,200,2025-04-25
Unnamed,Irma Fish and,SW34-45-9-W4,BKTR,Beitty Resort,3N,20.2,300,2025-04-25
Kakut Lake,,SW34-76-4-W6,RNTR,Campbell Lake,2N,20.6,1500,2025-05-21
Unnamed,Fairview College,SW34-81-3-W6,RNTR,Campbell Lake,2N,20.6,500,2025-05-21
Running Lake,,SW34-88-7-W6,BKTR,Beitty Resort,3N,19.8,3000,2025-05-20
Unnamed,Pit 44,SW35-46-19-W5,RNTR,Trout/Lodge/Jumpers,AF3N,21.1,1100,2025-05-26
Victor Lake,,SW35-56-8-W6,RNTR,Trout/Lodge/Kamloops,AF3N,18.1,15000,2025-05-28
Unnamed,Huber Reservoir,SW36-37-13-W4,RNTR,Riverence,AF2N,20.3,6000,2025-04-22
Unnamed,Huber Reservoir,SW36-37-13-W4,TGTR,Beitty/Bow River,3N,20.1,1250,2025-04-22
Wadlin Lake,,SW4-101-10-W5,WALL,Graham Lake,2N,0.4,1520390,2025-06-10
Alford Lake,,SW4-36-8-W5,RNTR,Riverence,AF3N,20,3000,2025-05-02
Emerson Lake,,SW5-19-28-W4,BNTR,Bow River,3N,18.5,200,2025-04-17
Emerson Lake,,SW5-19-28-W4,RNTR,Riverence,AF3N,20.1,1400,2025-04-17
Emerson Lake,,SW5-19-28-W4,RNTR,Trout,AF3N,20.3,2362,2025-06-12
Invincible Lake,,SW5-20-9-W5,CTTR,Allison Creek,2N,4.2,450,2025-09-09
Unnamed,Acadia Valley,SW5-25-2-W4,RNTR,Riverence,AF2N,20.7,5000,2025-04-23
Unnamed,Acadia Valley,SW5-25-2-W4,BKTR,Beitty Resort,3N,19.5,2000,2025-04-23
Unnamed,Acadia Valley,SW5-25-2-W4,RNTR,Riverence,AF2N,20.7,5000,2025-04-24
Unnamed,Acadia Valley,SW5-25-2-W4,BKTR,Beitty Resort,3N,19.5,2000,2025-04-24
Tay Lake,,SW5-36-8-W5,RNTR,Riverence,AF3N,12.6,5000,2025-06-04
Sardine Lake,,SW5-49-4-W5,RNTR,Riverence,AF3N,20,2500,2025-05-09
Emerald Lake,,SW5-62-11-W5,BKTR,Beitty Resort,3N,20.9,2600,2025-05-29
Twin Lakes,,SW6-40-7-W5,RNTR,Trout/Lodge/Jumpers,AF3N,20.1,7000,2025-05-06
Jackfish Lake,,SW6-41-11-W5,WALL,Lac Ste. Anne,2N,6.1,500,2025-07-23
Ironside Pond,,SW7-38-7-W5,RNTR,Riverence,AF3N,20,500,2025-05-20
Ironside Pond,,SW7-38-7-W5,TGTR,Beitty/Bow River,3N,30.6,400,2025-09-16
Unnamed,Vegreville Trout,SW7-52-14-W4,RNTR,Campbell Lake,2N,20.6,10000,2025-04-26
Pierre Greys Lakes Upper Pierre,,SW7-57-4-W6,BKTR,Beitty Resort,3N,19.8,2000,2025-05-14
Pierre Greys Lakes Upper Pierre,,SW7-57-4-W6,BKTR,Beitty Resort,3N,20.3,3562,2025-06-26
Pierre Greys Lakes Upper Pierre,,SW7-57-4-W6,BKTR,Beitty Resort,3N,12.3,9500,2025-09-25
Millers Lake,,SW8-53-19-W5,RNTR,Campbell Lake,3N,20.5,7671,2025-05-09
Millers Lake,,SW8-53-19-W5,RNTR,Campbell Lake,3N,21.7,3350,2025-05-09
Millers Lake,,SW8-53-19-W5,RNTR,Campbell Lake,3N,20.5,2479,2025-05-09
Millers Lake,,SW8-53-19-W5,TGTR,Beitty/Bow River,3N,21.2,1450,2025-05-27
Lees Lake,,SW8-7-2-W5,RNTR,Riverence,AF3N,10.7,3000,2025-04-14
Lees Lake,,SW8-7-2-W5,BNTR,Bow River,3N,19,1895,2025-04-14
Lees Lake,,SW8-7-2-W5,RNTR,Riverence,AF3N,20.1,17000,2025-04-14
Lees Lake,,SW8-7-2-W5,RNTR,Campbell Lake,3N,20.1,20000,2025-09-22
Lees Lake,,SW8-7-2-W5,RNTR,Campbell Lake,3N,6.4,5943,2025-09-22
