Waterbody Official,Waterbody,ATS,Species,Strain* Genotype**,,Average,Number,Stocking Date
Unnamed,Wetaskiwin Pond,NE24-46-24-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20.1,150,2025-05-10
Unnamed,Wetaskiwin Pond,NE24-46-24-W4,BKTR,Beitty Resort,3N,19.6,250,2025-05-10
Unnamed,Rainbow Lake,NE25-109-9-W6,RNTR,Riverence,AF2N,23.6,500,2025-05-13
Mitchell Lake,,NE25-37-8-W5,RNTR,Trout/Lodge/Jumpers,AF3N,20.1,2000,2025-05-06
Mitchell Lake,,NE25-37-8-W5,BNTR,Bow River,3N,18.8,500,2025-05-06
Mitchell Lake,,NE25-37-8-W5,TGTR,Beitty/Bow River,3N,30.6,1200,2025-09-16
Mitchell Lake,,NE25-37-8-W5,TGTR,Beitty/Bow River,3N,10.9,1000,2025-09-16
Parlby Reservoir,Tees Fish Pond,NE25-40-24-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.4,400,2025-05-06
Unnamed,Open Creek,NE25-42-6-W5,RNTR,Riverence,AF2N,20.3,6000,2025-05-10
Unnamed,Lara Fish Pond,NE25-61-5-W4,RNTR,Campbell Lake,2N,23.8,200,2025-09-25
Unnamed,Shuster Lake,NE26-43-5-W4,BKTR,Beitty Resort,3N,19.6,6000,2025-05-01
Unnamed,Bud Miller Park,NE26-49-1-W4,RNTR,Riverence,AF2N,23.5,1500,2025-05-02
Unnamed,Leduc Reservoir,NE27-49-25-W4,RNTR,Riverence,AF2N,20.2,1181,2025-04-25
Unnamed,Leduc Reservoir,NE27-49-25-W4,RNTR,Riverence,AF2N,21,3819,2025-04-25
Pinehurst Lake,,NE27-65-10-W4,WALL,Ethel Lake,2N,0.4,918256,2025-05-30
Pinehurst Lake,,NE27-65-10-W4,WALL,Ethel Lake,2N,0.4,1035348,2025-05-31
Pinehurst Lake,,NE27-65-10-W4,WALL,Ethel Lake,2N,0.4,181675,2025-06-03
Pinehurst Lake,,NE27-65-10-W4,WALL,Ethel Lake,2N,0.4,349736,2025-06-05
Sauer Lake,,NE28-53-1-W5,RNTR,Riverence,AF2N,20.3,6000,2025-05-05
Unnamed,Hansen's,NE29-38-3-W5,RNTR,Trout/Lodge/Kamloops,AF3N,24,500,2025-10-14
Unnamed,Atlantic Richfield,NE29-67-9-W5,RNTR,Campbell Lake,2N,22.5,1800,2025-06-11
Twin Lakes,East Twin Lake,NE29-97-22-W5,RNTR,Campbell Lake,2N,20.6,4200,2025-05-21
Twin Lakes,East Twin Lake,NE29-97-22-W5,TGTR,Beitty/Bow River,3N,23.9,1000,2025-05-21
Twin Lakes,East Twin Lake,NE29-97-22-W5,RNTR,Campbell Lake,2N,20.4,4200,2025-09-15
Unnamed,Wallace Park,NE31-44-6-W4,RNTR,Trout/Lodge/Kamloops,AF3N,21,500,2025-05-13
Rainbow Park Pond Westlock,,NE31-59-25-W4,RNTR,Trout,AF3N,21,1200,2025-05-14
Montaganeusse Lake,Stoney Lake,NE31-86-3-W6,RNTR,Trout/Lodge/Kamloops,AF3N,17.7,10000,2025-05-20
Montaganeusse Lake,Stoney Lake,NE31-86-3-W6,TGTR,Beitty/Bow River,3N,23.9,1975,2025-05-20
Unnamed,Lougheed Trout,NE33-43-11-W4,RNTR,Trout/Lodge/Kamloops,AF3N,21,600,2025-05-13
Unnamed,Castaway Trout,NE35-47-13-W4,RNTR,Trout/Lodge/Kamloops,AF3N,21,350,2025-05-13
Unnamed,Castaway Trout,NE35-47-13-W4,RNTR,Trout/Lodge/Kamloops,AF3N,21,1100,2025-05-13
Unnamed,Whitecourt Town,NE35-59-12-W5,RNTR,Riverence,AF2N,23.6,1500,2025-05-12
Unnamed,Mile 07 Lake,NE35-69-14-W4,RNTR,Campbell Lake,2N,20,11000,2025-05-05
Unnamed,Highway 63 Pond,NE35-87-9-W4,RNTR,Campbell Lake,2N,21,1000,2025-05-08
Dillberry Lake,,NE36-41-1-W4,RNTR,Pit Lakes,2N,21.4,8000,2025-05-02
Dillberry Lake,,NE36-41-1-W4,RNTR,Campbell Lake,2N,20.7,7000,2025-05-03
Dillberry Lake,,NE36-41-1-W4,RNTR,Campbell Lake,2N,19.9,5000,2025-09-25
Dillberry Lake,,NE36-41-1-W4,TGTR,Beitty/Bow River,3N,22.9,3500,2025-05-02
Claude N. Brennan Vermilion Park,,NE36-50-7-W4,RNTR,Trout,AF3N,21,1250,2025-05-13
Kehiwin Lake,Kehewin Lake,NE36-58-7-W4,WALL,Ethel Lake,2N,0.4,530560,2025-06-03
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Riverence,AF3N,20.2,15348,2025-04-23
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout/Lodge/Kamloops,AF3N,17.5,2702,2025-04-30
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout/Lodge/Kamloops,AF3N,16.3,29304,2025-04-30
Chain Lakes Reservoir,,NE4-15-2-W5,CTTR,Allison Creek,2N,37.8,425,2025-06-24
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,20,24836,2025-09-11
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,20.4,20164,2025-09-15
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout/Lodge/Jumpers,AF3N,6.4,9401,2025-09-22
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,19.8,10611,2025-10-08
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,19.8,10747,2025-10-09
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout,AF3N,8.6,3957,2025-10-21
Unnamed,Pit 24,NE4-47-19-W5,RNTR,Trout/Lodge/Jumpers,AF3N,21.2,750,2025-05-27
Chatwin Lake,,NE4-61-6-W4,RNTR,Campbell Lake,2N,20.2,2000,2025-05-07
Chatwin Lake,,NE4-61-6-W4,RNTR,Campbell Lake,2N,20.5,8000,2025-05-30
Gap Lake,,NE5-39-13-W5,CTTR,Allison Creek,2N,4.7,1335,2025-09-25
Unnamed,Ponoka,NE5-43-25-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.4,1000,2025-05-05
Unnamed,Ponoka,NE5-43-25-W4,TGTR,Beitty/Bow River,3N,19.6,100,2025-05-09
Michel Reservoir,Michel Creek,NE5-7-3-W4,RNTR,Riverence,AF2N,20.3,7500,2025-05-08
Michel Reservoir,Michel Creek,NE5-7-3-W4,BNTR,Bow River,3N,19.4,1500,2025-05-08
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Riverence,AF3N,23.1,2500,2025-04-16
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Riverence,AF3N,20,2500,2025-04-16
Obstruction Lakes,,NE6-40-20-W5,CTTR,Allison Creek,2N,4.7,1068,2025-09-25
Unnamed,Fort,NE6-54-20-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.6,2000,2025-05-29
Unnamed,Twin Valley,NE7-15-25-W4,WALL,Lac Ste. Anne,2N,0.4,1000000,2025-06-05
Landslide Lake,,NE7-36-18-W5,CTTR,Allison Creek,2N,4.7,4007,2025-09-25
