,,,,,,,,
Mclean Pond,,NW20-22-5-W5,CTTR,Allison Creek,2N,13.2,2300,16-05-2025
Mclean Pond,,NW20-22-5-W5,CTTR,Allison Creek,2N,37.8,200,24-06-2025
Mclean Pond,,NW20-22-5-W5,CTTR,Allison Creek,2N,17.5,2300,31-07-2025
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Pit Lakes,3N,20.9,9900,07-05-2025
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.3,10000,12-05-2025
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Campbell Lake,3N,21.9,12000,23-05-2025
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.8,20500,02-06-2025
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Trout Lodge/Kamloops,AF3N,18.4,10000,03-06-2025
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Riverence,AF2N,23.9,4000,03-06-2025
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.1,16700,12-06-2025
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.9,14300,12-06-2025
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Riverence,AF3N,18.9,10150,24-09-2025
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Riverence,AF3N,17.9,5390,24-09-2025
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Riverence,AF3N,19.5,10645,29-09-2025
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Riverence,AF3N,18.9,9740,29-09-2025
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Riverence,AF3N,18.6,16134,29-09-2025
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Riverence,AF3N,17.9,4281,01-10-2025
McLeod Lake,Carson Lake,SE25-61-12-W5,RNTR,Campbell Lake,3N,20.4,10590,01-10-2025
Medley River,,SE11-65-2-W4,RNTR,Campbell Lake,3N,22.1,1500,12-06-2025
Michel Reservoir,"Michel Creek
Reservoir",NE5-7-3-W4,RNTR,Riverence,AF2N,20.3,7500,08-05-2025
Michel Reservoir,Michel Creek Reservoir,NE5-7-3-W4,BNTR,Bow River,3N,19.4,1500,08-05-2025
Michichi Reservoir,,SW19-30-18-W4,RNTR,Riverence,AF3N,20.1,4200,23-04-2025
Michichi Reservoir,,SW19-30-18-W4,RNTR,Riverence,AF2N,22.86,1400,24-04-2025
Millers Lake,,SW8-53-19-W5,RNTR,Campbell Lake,3N,20.5,7671,09-05-2025
Millers Lake,,SW8-53-19-W5,RNTR,Campbell Lake,3N,21.7,3350,09-05-2025
Millers Lake,,SW8-53-19-W5,RNTR,Campbell Lake,3N,20.5,2479,09-05-2025
Millers Lake,,SW8-53-19-W5,TGTR,Beitty/Bow River,3N,21.2,1450,27-05-2025
Minnow Lake,,NW31-50-14-W5,WALL,Rock Island,2N,0.4,187000,04-06-2025
Mitchell Lake,,NE25-37-8-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.1,2000,06-05-2025
Mitchell Lake,,NE25-37-8-W5,BNTR,Bow River,3N,18.8,500,06-05-2025
Mitchell Lake,,NE25-37-8-W5,TGTR,Beitty/Bow River,3N,30.6,1200,16-09-2025
Mitchell Lake,,NE25-37-8-W5,TGTR,Beitty/Bow River,3N,10.9,1000,16-09-2025
Mitchell Pond,Waskasoo Park Pond,NW18-38-27-W4,RNTR,Trout Lodge/Kamloops,AF3N,30,50,08-05-2025
Mitchell Pond,"Waskasoo Park
Pond",NW18-38-27-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.4,2100,08-05-2025
Montaganeusse Lake,Stoney Lake,NE31-86-3-W6,RNTR,"Trout
Lodge/Kamloops",AF3N,17.7,10000,20-05-2025
Montaganeusse Lake,Stoney Lake,NE31-86-3-W6,TGTR,Beitty/Bow River,3N,23.9,1975,20-05-2025
Moonshine Lake,Mirage Lake,SE31-79-8-W6,BNTR,Bow River,3N,19.7,1000,20-05-2025
Moonshine Lake,Mirage Lake,SE31-79-8-W6,RNTR,Trout Lodge/Kamloops,AF3N,17.3,9300,21-05-2025
