Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Average Length (cm),Number Stocked,Stocking Date
,,SW32-40-15-W5,RNTR,Riverence,23.1,201,2024-05-07
,,SE32-40-15-W5,RNTR,Riverence,23.1,151,2024-05-07
,,SE14-44-3-W5,RNTR,Trout Lodge/Kamloops,20.4,600,2024-05-07
,,NE25-42-6-W5,RNTR,Campbell Lake,50.1,25,2024-05-10
,,NE25-42-6-W5,RNTR,Campbell Lake,35.1,25,2024-05-10
,,NE25-42-6-W5,RNTR,Campbell Lake,20.0,2400,2024-05-02
,,NE15-14-28-W4,RNTR,Trout Lodge/Jumpers,20.4,3750,2024-04-15
,,SW20-46-19-W4,BKTR,Beitty Resort,18.8,750,2024-04-25
,,SW20-46-19-W4,TGTR,Beitty/Bow River,19.5,200,2024-04-25
,,SW20-46-19-W4,RNTR,Trout Lodge/Jumpers,20.9,605,2024-04-25
,,SW20-46-19-W4,BNTR,Bow River,19.7,283,2024-04-25
,,NE5-43-25-W4,RNTR,Trout Lodge/Kamloops,20.5,1000,2024-04-24
,,NE5-43-25-W4,TGTR,Beitty/Bow River,19.7,100,2024-04-30
,,SE31-58-20-W4,RNTR,Trout Lodge/Jumpers,20.0,1040,2024-05-10
,,SW24-8-22-W4,RNTR,Riverence,22.2,919,2024-04-10
,,NW12-26-22-W4,RNTR,Trout Lodge/Jumpers,20.2,3360,2024-04-15
,,SW10-79-8-W6,BKTR,Beitty Resort,19.8,590,2024-05-08
,,SW10-79-8-W6,TGTR,Beitty/Bow River,19.2,50,2024-05-08
,,SW25-60-17-W4,RNTR,Pit Lakes,18.6,4200,2024-05-02
,,NE26-43-5-W4,BKTR,Beitty Resort,18.5,3500,2024-04-24
,,NE12-5-24-W4,RNTR,Trout Lodge/Jumpers,20.4,1250,2024-04-15
,,NE23-75-11-W6,RNTR,Trout Lodge/Jumpers,19.9,3200,2024-05-07
,,SE9-58-9-W4,TGTR,Beitty/Bow River,20.1,300,2024-05-03
,,SE9-58-9-W4,RNTR,Campbell Lake,19.5,720,2024-05-03
,,SE9-58-9-W4,BNTR,Bow River,19.5,400,2024-05-03
,,SW29-6-19-W4,RNTR,Trout Lodge/Kamloops,20.5,1000,2024-04-18
,,SW14-24-25-W4,TGTR,Beitty/Bow River,19.1,150,2024-05-02
,,NW32-48-21-W4,RNTR,Trout Lodge/Jumpers,20.7,1100,2024-04-25
,,NW32-48-21-W4,BNTR,Bow River,19.7,193,2024-04-25
,,NW15-88-8-W4,RNTR,Campbell Lake,20.1,1080,2024-05-10
,,SW20-88-8-W4,RNTR,Campbell Lake,20.1,600,2024-05-10
,,NW17-52-14-W4,RNTR,Trout Lodge/Kamloops,20.9,600,2024-05-08
,,SW7-52-14-W4,RNTR,Campbell Lake,20.0,4000,2024-04-19
,,SW7-52-14-W4,RNTR,Riverence,7.7,10000,2024-04-19
,,NW2-29-5-W5,RNTR,Campbell Lake,20.0,3000,2024-05-08
,,SW35-56-8-W6,RNTR,Trout Lodge/Jumpers,19.9,7500,2024-05-10
,,SE18-73-21-W5,BNTR,Bow River,19.5,250,2024-05-07
,,SE18-73-21-W5,RNTR,Trout Lodge/Jumpers,19.9,500,2024-05-07
,,NE23-54-23-W4,RNTR,Trout Lodge/Jumpers,20.7,800,2024-05-08
,,NE23-54-23-W4,TGTR,Beitty/Bow River,19.4,450,2024-05-08
,,NE23-54-23-W4,BNTR,Bow River,20.4,250,2024-05-08
,,SW10-42-22-W4,RNTR,Trout Lodge/Kamloops,20.5,4732,2024-04-23
