Site Names,,,,
Codes,English Names,Province Codes,Latitude,Longitude
s0000087,'Fort Qu''Appelle',SK,50.77N,103.79W
s0000524,Fort Resolution,NT,61.17N,113.67W
s0000517,Fort Severn,ON,56.00N,87.62W
s0000525,Fort Simpson,NT,61.86N,121.35W
s0000690,Fort Smith,NT,60.00N,111.88W
s0000746,Fort St. John,BC,56.25N,120.85W
s0000020,Fourchu Head,NS,45.72N,60.23W
s0000250,Fredericton,NB,45.95N,66.67W
s0000688,Fundy (National Park),NB,45.62N,65.03W
s0000388,Gameti,NT,64.12N,117.35W
s0000169,Gananoque,ON,44.33N,76.16W
s0000667,Gander,NL,48.95N,54.61W
s0000167,Garden Creek,AB,58.70N,113.88W
s0000535,Gaspé,QC,48.83N,64.48W
s0000321,Gaspésie (Parc national),QC,48.93N,66.28W
s0000611,Gatineau,QC,45.48N,75.65W
s0000316,Gibsons,BC,49.40N,123.50W
s0000543,Gillam,MB,56.35N,94.71W
s0000534,Gimli,MB,50.63N,96.99W
s0000820,Gjoa Haven,NU,68.63N,95.88W
s0000165,Goderich,ON,43.74N,81.70W
s0000566,Gods Lake,MB,54.67N,94.25W
s0000025,Gogama,ON,47.67N,81.73W
s0000527,Golden,BC,51.30N,116.97W
s0000234,Gonzales Point,BC,48.41N,123.29W
s0000647,Good Hope Lake,BC,59.28N,129.30W
s0000790,Gore Bay,ON,45.92N,82.46W
s0000288,Gouin (Réservoir),QC,48.63N,74.90W
s0000052,Granby,QC,45.40N,72.73W
s0000475,Grand Bank,NL,47.10N,55.77W
s0000191,Grand Beach,MB,50.55N,96.63W
s0000405,Grand Étang,NS,46.55N,61.05W
s0000201,Grand Falls,NB,47.05N,67.74W
s0000118,Grand Falls-Windsor,NL,48.94N,55.67W
s0000004,Grand Forks,BC,49.03N,118.43W
s0000622,Grand Manan,NB,44.70N,66.82W
s0000207,Grand Rapids,MB,53.18N,99.26W
s0000781,Grande Cache,AB,53.89N,119.12W
s0000661,Grande Prairie,AB,55.17N,118.80W
s0000319,Grande-Vallée,QC,49.22N,65.13W
s0000638,Gravenhurst,ON,44.87N,79.34W
s0000528,Greater Napanee,ON,44.24N,76.97W
s0000680,Greater Sudbury,ON,46.58N,81.07W
s0000418,Greenstone (Beardmore),ON,49.60N,87.96W
s0000538,Greenstone (Geraldton),ON,49.72N,86.95W
s0000539,Greenstone (Nakina),ON,50.18N,86.71W
s0000803,Greenwood,NS,44.97N,64.93W
s0000172,Gretna,MB,49.01N,97.56W
s0000177,Grise Fiord,NU,76.42N,82.90W
s0000457,Gros Morne,NL,49.69N,57.74W
s0000571,Guelph,ON,43.54N,80.23W
s0000155,Gulf Islands (Southern),BC,48.95N,123.53W
s0000395,Gull Bay,ON,49.80N,89.11W
s0000860,Gull Island Rapids (Trans-Labrador Hwy),NL,52.98N,61.47W
s0000464,Guysborough,NS,45.39N,61.50W
s0000183,Haines Junction,YT,60.75N,137.51W
s0000548,Haldimand County,ON,42.99N,79.85W
s0000303,Haliburton,ON,45.05N,78.51W
s0000318,Halifax,NS,44.87N,63.72W
s0000084,Halifax (Shearwater),NS,44.66N,63.59W
s0000789,Halton Hills,ON,43.63N,79.95W
s0000549,Hamilton,ON,43.24N,79.99W
s0000780,Happy Valley-Goose Bay,NL,53.30N,60.31W
s0000308,Hart Island,NS,45.35N,60.98W
s0000541,Havre St-Pierre,QC,50.23N,63.60W
s0000069,Hawkesbury,ON,45.61N,74.60W
s0000561,Hay River,NT,60.82N,115.80W
s0000266,Hearst,ON,49.69N,83.65W
s0000279,Hendrickson Creek,AB,53.77N,118.37W
s0000621,High Level,AB,58.52N,117.13W
s0000383,High River,AB,50.58N,113.87W
s0000066,Highvale,AB,53.45N,114.52W
s0000849,Highway 3 - Hope to Princeton via Allison Pass,BC,49.06N,120.75W
s0000850,Highway 3 - Paulson Summit to Kootenay Pass,BC,49.19N,117.43W
s0000851,Highway 97 - Clinton to 100 Mile House via Begbie Summit,BC,51.33N,121.39W
s0000852,Highway 97 - Pine Pass,BC,55.51N,122.55W
s0000217,Hinton,AB,53.41N,117.56W
s0000547,Hope,BC,49.38N,121.44W
s0000226,Hope Slide,BC,49.30N,121.27W
s0000181,Hopedale,NL,55.47N,60.22W
s0000655,Hopewell,NB,45.83N,64.72W
s0000267,Hornepayne,ON,49.25N,84.78W
s0000545,Hudson Bay,SK,52.84N,102.38W
s0000196,Humboldt,SK,52.20N,105.12W
s0000178,Hunters Point,MB,53.03N,100.94W
s0000099,Huntingdon,QC,45.08N,74.17W
s0000640,Huntsville,ON,45.31N,79.28W
s0000540,Igloolik,NU,69.38N,81.80W
s0000819,Ignace,ON,49.41N,91.68W
s0000174,Îles-de-la-Madeleine,QC,47.40N,61.78W
s0000086,Indian Head,SK,50.53N,103.67W
s0000389,Indin River,NT,64.28N,115.07W
s0000433,Ingonish,NS,46.69N,60.37W
s0000627,Inukjuak,QC,58.45N,78.10W
s0000519,Inuvik,NT,68.36N,133.72W
s0000008,Invermere,BC,50.52N,116.03W
s0000394,Iqaluit,NU,63.75N,68.52W
s0000565,Island Lake,MB,53.86N,94.67W
s0000563,Ivujivik,QC,62.42N,77.92W
s0000218,Jasper,AB,52.89N,118.17W
s0000721,Joliette,QC,46.02N,73.45W
s0000659,Kakabeka Falls,ON,48.41N,89.62W
s0000305,Kaladar,ON,44.65N,77.12W
s0000568,Kamloops,BC,50.67N,120.33W
s0000335,Kamouraska,QC,47.57N,69.87W
s0000664,Kamsack,SK,51.56N,101.90W
s0000263,Kananaskis (Nakiska Ridgetop),AB,51.08N,115.13W
s0000591,Kangiqsualujjuaq,QC,58.69N,65.95W
s0000574,Kangiqsujuaq,QC,61.60N,71.96W
s0000480,Kangirsuk,QC,60.02N,70.03W
s0000782,Kapuskasing,ON,49.42N,82.42W
s0000632,Kawartha Lakes (Fenelon Falls),ON,44.54N,78.74W
s0000631,Kawartha Lakes (Lindsay),ON,44.36N,78.74W
s0000223,Kejimkujik (National Park),NS,44.39N,65.29W
s0000592,Kelowna,BC,49.88N,119.48W
s0000436,Kemptville,ON,45.02N,75.64W
s0000651,Kenora,ON,49.82N,94.44W
s0000439,Kentville,NS,45.08N,64.50W
s0000576,Key Lake,SK,57.22N,105.63W
s0000088,Killarney,ON,46.06N,80.98W
s0000587,Kimmirut,NU,62.85N,69.87W
s0000166,Kincardine,ON,44.17N,81.63W
s0000581,Kindersley,SK,51.47N,109.16W
s0000531,Kingston,ON,44.31N,76.42W
s0000694,Kinngait,NU,64.23N,76.54W
s0000437,Kirkland Lake,ON,48.15N,80.03W
s0000573,Kitchener-Waterloo,ON,43.42N,80.47W
s0000756,Kitimat,BC,54.05N,128.65W
s0000505,Kluane Lake,YT,61.26N,138.77W
s0000391,Kootenay (National Park),BC,50.95N,116.03W
s0000038,Kouchibouguac,NB,46.86N,64.98W
s0000065,Kugaaruk,NU,68.53N,89.83W
s0000498,Kugluktuk,NU,67.83N,115.09W
s0000719,Kuujjuaq,QC,58.10N,68.40W
s0000542,Kuujjuarapik,QC,55.28N,77.75W
s0000857,'L''Anse-au-Loup',NL,51.52N,56.84W
s0000142,'L''Assomption',QC,45.83N,73.42W
s0000336,'L''Islet',QC,47.10N,70.35W
s0000532,La Grande Rivière,QC,53.63N,77.70W
s0000478,La Grande-Quatre,QC,53.83N,73.53W
s0000722,La Loche,SK,56.49N,109.40W
s0000333,La Malbaie,QC,47.65N,70.15W
s0000048,La Prairie,QC,45.42N,73.50W
s0000715,La Ronge,SK,55.12N,105.29W
s0000354,La Sarre,QC,48.80N,79.20W
s0000079,La Scie,NL,49.96N,55.59W
s0000124,La Tuque,QC,47.43N,72.78W
s0000245,La Vérendrye (Réserve faunique),QC,47.33N,77.00W
s0000737,Labrador City,NL,52.94N,66.92W
s0000229,Lac La Biche,AB,54.77N,111.98W
s0000575,Lac Raglan,QC,61.66N,73.26W
s0000186,Lac-Mégantic,QC,45.58N,70.88W
s0000674,Lac-Saint-Jean,QC,48.57N,72.23W
s0000602,Lachute,QC,45.65N,74.33W
s0000297,Lacombe,AB,52.46N,113.73W
s0000763,Lake Superior (Provincial Park),ON,47.60N,84.74W
s0000744,Lambton Shores,ON,43.18N,81.90W
s0000459,Lanaudière,QC,46.30N,73.20W
s0000866,Langley,BC,49.10N,122.66W
s0000233,Lansdowne House,ON,52.22N,87.89W
s0000381,Last Mountain Lake (Sanctuary),SK,51.37N,105.23W
s0000284,Laurentides (Réserve faunique),QC,47.75N,71.25W
s0000712,Laval,QC,45.58N,73.75W
s0000149,Le Gardeur,QC,45.75N,73.47W
s0000219,Leader,SK,50.89N,109.55W
s0000776,Leaf Rapids,MB,56.47N,99.75W
s0000431,Leamington,ON,42.10N,82.56W
s0000652,Lethbridge,AB,49.69N,112.84W
s0000416,Lévis,QC,46.80N,71.18W
s0000669,Lewisporte,NL,49.25N,55.06W
s0000377,Liard River,BC,59.42N,126.08W
s0000222,Lillooet,BC,50.68N,121.93W
s0000470,Lincoln,ON,43.15N,79.42W
s0000010,Little Grand Rapids,MB,52.04N,95.46W
s0000371,Liverpool,NS,44.04N,64.72W
s0000590,Lloydminster,AB,53.28N,110.00W
s0000835,Lloydminster,SK,53.28N,109.98W
s0000326,London,ON,42.97N,81.23W
s0000551,Longueuil,QC,45.53N,73.52W
s0000605,Lorraine,QC,45.68N,73.78W
s0000348,Louiseville,QC,46.25N,72.95W
s0000230,Lucky Lake,SK,50.99N,107.13W
s0000440,Lunenburg,NS,44.38N,64.31W
s0000443,Lutselke,NT,62.41N,110.74W
s0000777,Lynn Lake,MB,56.83N,101.08W
s0000242,Lytton,BC,50.23N,121.57W
s0000805,Mackenzie,BC,55.30N,123.17W
s0000345,Magog,QC,45.27N,72.15W
s0000526,Makkovik,NL,55.09N,59.18W
s0000224,Malahat,BC,48.55N,123.57W
s0000868,Malahat Highway - Goldstream to Mill Bay,BC,48.56N,123.57W
s0000447,Malay Falls,NS,44.99N,62.48W
s0000123,Manicouagan,QC,50.64N,68.74W
s0000244,Maniwaki,QC,46.38N,75.97W
s0000248,Maple Creek,SK,49.91N,109.48W
s0000026,Maple Plains,PE,46.28N,63.57W
s0000022,Marathon,ON,48.72N,86.38W
s0000220,Marble Mountain,NL,48.94N,57.84W
s0000060,Marieville,QC,45.43N,73.17W
s0000585,Markham,ON,43.88N,79.26W
s0000594,'Mary''s Harbour',NL,52.32N,55.83W
s0000474,Marystown,NL,47.17N,55.17W
s0000145,Mascouche,QC,45.75N,73.60W
s0000007,Masset,BC,54.02N,132.10W
s0000617,Matagami,QC,49.75N,77.63W
s0000784,Matane,QC,48.85N,67.53W
s0000407,Matapedia,QC,47.97N,66.95W
s0000125,Mauricie,QC,46.80N,72.97W
s0000593,Mayo,YT,63.59N,135.90W
s0000005,McBride,BC,53.30N,120.17W
s0000276,McCreary,MB,50.77N,99.49W
s0000589,Meadow Lake,SK,54.12N,108.44W
s0000745,Medicine Hat,AB,50.04N,110.68W
s0000158,Melfort,SK,52.86N,104.61W
s0000136,Melita,MB,49.27N,101.00W
s0000665,Melville,SK,50.93N,102.81W
s0000006,Merritt,BC,50.11N,120.79W
s0000281,Midland,ON,44.75N,79.88W
s0000523,Mildred Lake,AB,57.03N,111.60W
s0000313,Milk River,AB,49.15N,112.09W
s0000105,Mine Centre,ON,48.77N,92.62W
s0000094,Mingan,QC,50.30N,64.03W
