Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,Average Length (cm),Number Stocked,Stocking Date
Spring Lake,Cottage,SW30-52-1-W5,TGTR,Beitty/Bow River,3N,19.5,1500,2023-05-09
Spring Lake,Cottage,SW30-52-1-W5,BNTR,Bow River,3N,18.4,500,2023-05-09
Spring Lake,Cottage,SW30-52-1-W5,RNTR,Campbell Lake,2N,19.9,3990,2023-05-09
Spring Lake,Cottage,SW30-52-1-W5,RNTR,Trout Lodge/Jumpers,AF3N,16.5,4507,2023-09-21
Spruce Coulee Reservoir,,SW26-8-2-W4,BKTR,Beitty Resort,3N,17.1,6000,2023-05-08
Spruce Coulee Reservoir,,SW26-8-2-W4,BKTR,Beitty Resort,3N,11.5,11000,2023-09-14
Star Lake,,NE19-52-2-W5,TGTR,Beitty/Bow River,3N,19.5,1000,2023-05-09
Star Lake,,NE19-52-2-W5,BNTR,Bow River,3N,18.6,500,2023-05-09
Star Lake,,NE19-52-2-W5,RNTR,Campbell Lake,2N,19.9,3208,2023-05-09
Strubel Lake,,SW30-37-7-W5,RNTR,Campbell Lake,3N,8.9,10000,2023-05-08
Strubel Lake,,SW30-37-7-W5,RNTR,Campbell Lake,3N,19.9,2511,2023-05-17
Strubel Lake,,SW30-37-7-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.8,6067,2023-05-17
Sulphur Lake,,NW7-89-2-W6,BKTR,Beitty Resort,3N,22.1,3500,2023-06-07
Swan Lake,,SW18-70-25-W5,RNTR,Campbell Lake,3N,17.5,3729,2023-09-19
Swan Lake,,SW18-70-25-W5,RNTR,Campbell Lake,3N,15.4,2430,2023-09-19
Swan Lake,,SW18-70-25-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.3,7110,2023-05-18
Swan Lake,,SW18-70-25-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.4,6000,2023-09-19
Tay Lake,,SW5-36-8-W5,RNTR,Trout Lodge/Kamloops,AF3N,18.3,2370,2023-06-15
Twin Lakes,East Twin Lake,NE29-97-22-W5,TGTR,Beitty/Bow River,3N,20.4,1000,2023-05-24
Twin Lakes,East Twin Lake,NE29-97-22-W5,RNTR,Campbell Lake,3N,20.2,702,2023-05-24
Twin Lakes,East Twin Lake,NE29-97-22-W5,RNTR,Campbell Lake,2N,20.2,974,2023-05-24
Twin Lakes,,SW6-40-7-W5,RNTR,Campbell Lake,3N,19.5,2835,2023-05-12
Twin Lakes,,SW6-40-7-W5,RNTR,Campbell Lake,3N,8.4,4000,2023-05-23
Twin Lakes,,SW6-40-7-W5,RNTR,Campbell Lake,2N,30.1,250,2023-10-04
Two Lakes,North Two Lake,NE20-62-12-W6,RNTR,Trout Lodge/Kamloops,AF3N,17.8,3413,2023-06-01
Two Lakes,South Two Lake,NE7-62-12-W6,CTTR,Job Lake,3N,13.7,5000,2023-06-01
Two Lakes,South Two Lake,NE7-62-12-W6,CTTR,Job Lake,3N,17.7,3000,2023-09-13
Unnamed,Acadia Valley Reservoir,SW5-25-2-W4,BKTR,Beitty Resort,3N,20.7,2000,2023-05-11
Unnamed,Acadia Valley Reservoir,SW5-25-2-W4,RNTR,Campbell Lake,2N,20.2,1995,2023-05-05
Unnamed,Allison Lake,SW27-8-5-W5,CTTR,Job Lake,3N,16,3740,2023-05-17
Unnamed,Anderson Dam,SW25-28-21-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,1000,2023-05-01
Unnamed,Ardmore Community Pond,NW1-62-4-W4,RNTR,Campbell Lake,2N,20.2,160,2023-05-05
Unnamed,Ashland Reservoir,NW17-48-3-W5,RNTR,Campbell Lake,2N,8.3,4000,2023-05-08
Unnamed,Ashland Reservoir,NW17-48-3-W5,RNTR,Campbell Lake,2N,20.1,3192,2023-05-12
Unnamed,Atlantic Richfield Reservoir,NE29-67-9-W5,RNTR,Campbell Lake,3N,17.1,1802,2023-09-12
Unnamed,Atlantic Richfield Reservoir,NE29-67-9-W5,RNTR,Trout Lodge/Jumpers,AF3N,25.6,900,2023-09-19
Unnamed,Bashaw Pond,SE4-42-21-W4,BKTR,Beitty Resort,3N,19.7,200,2023-05-04
Unnamed,Bashaw Pond,SE4-42-21-W4,RNTR,Trout Lodge/Jumpers,AF3N,20,500,2023-05-04
Unnamed,Bathing Lake,SE11-4-1-W5,CTTR,Job Lake,3N,15.5,775,2023-05-03
Unnamed,Beaumont Pond,NW27-50-24-W4,TGTR,Beitty/Bow River,3N,19.6,200,2023-05-02
Unnamed,Beaumont Pond,NW27-50-24-W4,BNTR,Bow River,3N,18.9,241,2023-05-02
Unnamed,Beaumont Pond,NW27-50-24-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,2000,2023-05-10
Unnamed,"Bellis Beach
Lake",SE15-59-15-W4,RNTR,Campbell Lake,2N,20,5586,2023-05-18
Unnamed,Big Iron Lake,NW1-15-4-W5,TGTR,Beitty/Bow River,3N,20.3,750,2023-06-13
Unnamed,"Black Nugget
Mine Pit",NW11-49-18-W4,TGTR,Beitty/Bow River,3N,19.9,5000,2023-05-02
Unnamed,Black Nugget Mine Pit,NW11-49-18-W4,RNTR,Campbell Lake,2N,20.1,4988,2023-05-02
Unnamed,Boulder Lake,NE18-39-27-W4,TGTR,Beitty/Bow River,3N,19.9,200,2023-05-03
Unnamed,Boulder Lake,NE18-39-27-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,2000,2023-05-03
Unnamed,Boulder Lake,NE18-39-27-W4,RNTR,Trout Lodge/Kamloops,AF3N,30,90,2023-05-03
Unnamed,Boulder Lake,NE18-39-27-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.1,1500,2023-06-15
Unnamed,Boulder Lake,NE18-39-27-W4,RNTR,Trout Lodge/Kamloops,AF3N,21.3,812,2023-09-21
Unnamed,Bow City East Ponds,NE15-17-17-W4,RNTR,Trout Lodge/Kamloops,AF3N,21.7,2000,2023-04-24
Unnamed,Boyle Pond,NE16-64-19-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.5,2200,2023-05-05
Unnamed,"Brazeau Borrow
Pit #1",SE32-45-10-W5,RNTR,Trout Lodge/Jumpers,AF3N,20,753,2023-05-25
Unnamed,Brazeau Borrow Pit #2,SW2-46-11-W5,RNTR,Trout Lodge/Jumpers,AF3N,20,251,2023-05-25
Unnamed,"Brooks
Aquaduct Pond",NE15-18-14-W4,RNTR,Campbell Lake,2N,20.2,3990,2023-04-26
Unnamed,Brooks Aquaduct Pond,NE15-18-14-W4,RNTR,Campbell Lake,2N,7.4,10000,2023-04-26
Unnamed,Bud Miller Park Pond,NE26-49-1-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.3,1500,2023-05-05
Unnamed,Burmis Lake,SE14-7-3-W5,CTTR,Job Lake,3N,15.5,1000,2023-04-25
Unnamed,Burn's Reservoir,NE23-6-30-W4,CTTR,Job Lake,3N,15.5,1000,2023-04-26
Unnamed,"By The Lake
Park",SW22-46-24-W4,RNTR,Campbell Lake,2N,20,1995,2023-05-04
Unnamed,By The Lake Park,SW22-46-24-W4,RNTR,Campbell Lake,2N,8.3,3000,2023-05-08
Unnamed,"Camp 9 Trout
Pond",NE32-44-8-W5,RNTR,Trout Lodge/Jumpers,AF3N,20,251,2023-05-26
Unnamed,"Cardiff Park
Pond",SW24-55-25-W4,BNTR,Bow River,3N,18.6,500,2023-05-12
Unnamed,"Cardiff Park
Pond",SW24-55-25-W4,RNTR,Campbell Lake,2N,20,4589,2023-05-09
Unnamed,"Cardiff Park
Pond",SW24-55-25-W4,RNTR,Campbell Lake,3N,17.5,1004,2023-09-19
Unnamed,Cardiff Park Pond,SW24-55-25-W4,TGTR,Beitty/Bow River,3N,20,1550,2023-05-09
Unnamed,Cardiff Park Pond,SW24-55-25-W4,BNTR,Bow River,3N,9.1,7500,2023-09-28
Unnamed,"Castaway Trout
Pond",NE35-47-13-W4,RNTR,Trout Lodge/Kamloops,AF3N,21.6,1100,2023-05-19
Unnamed,"Castor Eastside
Trout Pond",SE34-37-14-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,400,2023-05-02
Unnamed,Castor Eastside Trout Pond,SE34-37-14-W4,RNTR,Trout Lodge/Kamloops,AF3N,30,20,2023-05-02
Unnamed,Cecil Thompson Pond,SW23-83-21-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.2,502,2023-05-24
Unnamed,"Cipperley's
Reservoir",SW8-32-1-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.5,1200,2023-05-01
