Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,Average Length (cm),Number Stocked,Stocking Date
Unnamed,Irma Fish And Game Pond,SW34-45-9-W4,BKTR,Beitty/Bow River,3N,20,300,2023-05-05
Unnamed,"Jarvis Creek
Pond",NE19-52-26-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.3,351,2023-05-25
Unnamed,Kerbe's Pond,NE19-36-20-W4,TGTR,Beitty/Bow River,3N,19.9,1000,2023-05-02
Unnamed,Kerbe's Pond,NE19-36-20-W4,BNTR,Bow River,3N,19,250,2023-05-02
Unnamed,Kerbe's Pond,NE19-36-20-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.3,502,2023-05-02
Unnamed,Kerbe's Pond,NE19-36-20-W4,RNTR,Trout Lodge/Jumpers,AF3N,25.6,500,2023-09-19
Unnamed,Kinglet Lake,NW35-35-18-W5,CTTR,Job Lake,3N,17.1,250,2023-09-07
Unnamed,"Kraft Wimborne
Pond",SE28-33-26-W4,TGTR,Beitty/Bow River,3N,20.2,70,2023-05-03
Unnamed,"Kraft Wimborne
Pond",SE28-33-26-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.6,100,2023-05-03
Unnamed,"Kraft Wimborne
Pond",SE28-33-26-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,480,2023-05-01
Unnamed,Kraft Wimborne Pond,SE28-33-26-W4,BKTR,Beitty Resort,3N,20.4,230,2023-05-03
Unnamed,Kramer Pond,SW25-45-6-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.1,1757,2023-05-12
Unnamed,Kramer Pond,SW25-45-6-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.9,503,2023-09-20
Unnamed,La Crete Pond,SW15-106-12-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.4,641,2023-05-24
Unnamed,La Crete Pond,SW15-106-12-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.1,112,2023-05-24
Unnamed,"Lacombe Park
Pond",NW5-54-25-W4,BKTR,Beitty Resort,3N,21,600,2023-04-15
Unnamed,Lacombe Park Pond,NW5-54-25-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.6,500,2023-05-04
Unnamed,Lamont Pond,SW27-55-19-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,2000,2023-05-15
Unnamed,Lara Fish Pond,NE25-61-5-W4,RNTR,Campbell Lake,2N,20.2,160,2023-05-05
Unnamed,Leduc Reservoir,NE27-49-25-W4,RNTR,Campbell Lake,2N,20.3,1995,2023-05-04
