name,other_name,district,lat,long,ats,waterbody_id
HIGH LEVEL COMMUNITY PARK POND,HIGH LEVEL TOWN POND,HIGH LEVEL,58.517177,-117.163713,SE6-110-19-W5,26431
HIGH LEVEL POND,,,58.532109,-117.302526,SE8-110-20-W5,
HIGHWAY 40 POND,,GRANDE PRAIRIE,54.958674,-118.782831,SW12-69-6-W6,6794
HIGHWAY 63 POND,,FORT MCMURRAY,56.588109,-111.320447,NE35-87-9-W4,6668
HIGHWAY 686 POND,,PEACE RIVER,56.372419,-116.954587,NE17-85-19-W5,6795
HILLER'S RESERVOIR,,OLDS,51.739122,-113.978521,SE13-32-29-W4,6796
HINTON F & G POND,HINTON BORROW PIT,HINTON,53.341065,-117.605197,SW28-50-25-W5,6917
HORSESHOE LAKE,,,54.489439,-113.783183,SW31-63-25-W4,
HUBER RESERVOIR,,CORONATION,52.221611,-111.732917,SW36-37-13-W4,6780
INNISFREE TROUT POND,,VEGREVILLE,53.39796,-111.629354,SE13-51-12-W4,6784
IRMA FISH AND GAME POND,,VERMILION,52.918593,-111.236446,SW34-45-9-W4,6785
IRONSIDE POND,,ROCKY MOUNTAIN HOUSE,52.246795,-114.996541,SW7-38-7-W5,6786
ISLAND LAKE,,BLAIRMORE,49.627778,-114.684444,NW12-8-6-W5,4909
JACK FISH LAKE,,VERMILION,53.594311,-111.296351,NW20-53-9-W4,4920
Jane Lake,,,,,NW11-68-8-W5,
JARVIS CREEK POND,,HINTON,53.508917,-117.810057,NE19-52-26-W5,6788
Jessie Lake,,,,,SW23-68-7-W5,
KAKUT LAKE,,SPIRIT RIVER,55.625,-118.533333,SW34-76-4-W6,4965
KEENEX TROUT POND,,LETHBRIDGE,49.896607,-113.208467,NW10-11-24-W4,417476
Keho Lake,,,,,SW31-11-22-W4,
KERBE'S POND,,STETTLER,52.112277,-112.844594,NE19-36-20-W4,6770
KIDS CAN CATCH POND,,CALGARY,51.041403,-114.017656,SW13-24-1-W5,26447
KINKY LAKE,,HINTON,53.280836,-117.783145,SE6-50-26-W5,5002
