OFFICIAL NAME,COMMON NAME,ATS,LAT,LONG,SPECIES,STRAIN,GENOTYPE,AVG. LENGTH,QUANTITY,SHIPMENT DATE
HASSE LAKE,,SW13-52-2-W5,53.487212,-114.173756,RNTR,Trout Lodge/Jumpers,AF3N,20.1,5000,11-May-20
HASSE LAKE,,SW13-52-2-W5,53.487212,-114.173756,TGTR,Beitty/Bow River,3N,23.1,500,24-Sep-20
HASSE LAKE,,SW13-52-2-W5,53.487212,-114.173756,TGTR,Beitty/Bow River,3N,10.24,2000,24-Sep-20
HASSE LAKE,,SW13-52-2-W5,53.487212,-114.173756,RNTR,Campbell Lake,2N,40,50,28-Sep-20
HASSE LAKE,,SW13-52-2-W5,53.487212,-114.173756,RNTR,Trout Lodge/Jumpers,AF3N,20.6,2500,05-Oct-20
HINTON F & G POND,HINTON BORROW PIT,SW28-50-25-W5,53.341065,-117.605197,RNTR,Trout Lodge/Jumpers,AF3N,20,300,20-May-20
HORSESHOE LAKE,,SW31-63-25-W4,54.489439,-113.783183,BKTR,Beitty Resort,3N,10.1,15034,19-Jun-20
IRONSIDE POND,,SW7-38-7-W5,52.246795,-114.996541,RNTR,Beitty Resort,2N,35,5,13-May-20
IRONSIDE POND,,SW7-38-7-W5,52.246795,-114.996541,RNTR,Campbell Lake,2N,55,25,13-May-20
IRONSIDE POND,,SW7-38-7-W5,52.246795,-114.996541,TGTR,Beitty/Bow River,3N,20,200,01-Sep-20
ISLAND LAKE,,NW12-8-6-W5,49.627778,-114.684444,RNTR,Trout Lodge/Jumpers,AF3N,20.5,1900,20-May-20
JACK FISH LAKE,,NW20-53-9-W4,53.594311,-111.296351,RNTR,Trout Lodge/Jumpers,AF2N,20,500,09-May-20
KAKUT LAKE,,SW34-76-4-W6,55.625,-118.533333,RNTR,Trout Lodge/Jumpers,AF2N,20.1,1500,26-May-20
KINKY LAKE,,SE6-50-26-W5,53.280836,-117.783145,BKTR,Beitty Resort,3N,22.56,5613,10-Sep-20
KINKY LAKE,,SE6-50-26-W5,53.280836,-117.783145,BKTR,Beitty Resort,3N,12.07,5000,10-Sep-20
LAC DELORME,GEORGE'S LAKE,SE5-57-8-W4,53.896214,-111.1509,RNTR,Trout Lodge/Jumpers,AF2N,19.6,2000,28-May-20
LAC DELORME,GEORGE'S LAKE,SE5-57-8-W4,53.896214,-111.1509,RNTR,Trout Lodge/Jumpers,AF2N,19.6,2000,29-May-20
LAC LA BICHE TROUT POND,ALEXANDER HAMILTON POND,NW5-67-13-W4,54.775532,-111.953265,RNTR,Trout Lodge/Jumpers,AF2N,19.73,600,08-May-20
LAC LA BICHE TROUT POND,ALEXANDER HAMILTON POND,NW5-67-13-W4,54.775532,-111.953265,RNTR,Trout Lodge/Kamloops,AF2N,23.14,600,14-Sep-20
LAMBERT POND,,NW8-53-17-W5,53.566383,-116.481493,RNTR,Trout Lodge/Jumpers,AF3N,20,2000,22-May-20
LEES LAKE,,SW8-7-2-W5,49.541912,-114.248586,RNTR,Trout Lodge/Jumpers,AF3N,20,5773,29-Apr-20
LEES LAKE,,SW8-7-2-W5,49.541912,-114.248586,RNTR,Trout Lodge/Jumpers,AF3N,17.6,8936,29-Apr-20
LEES LAKE,,SW8-7-2-W5,49.541912,-114.248586,RNTR,Pit Lakes,2N,20.8,500,29-Apr-20
LEES LAKE,,SW8-7-2-W5,49.541912,-114.248586,BNTR,Bow River,3N,20,1895,30-Apr-20
LEES LAKE,,SW8-7-2-W5,49.541912,-114.248586,RNTR,Trout Lodge/Jumpers,AF3N,18.5,5291,06-May-20
LEES LAKE,,SW8-7-2-W5,49.541912,-114.248586,RNTR,Campbell Lake,3N,8.1,10000,05-Jun-20
LEES LAKE,,SW8-7-2-W5,49.541912,-114.248586,RNTR,Campbell Lake,3N,15.5,12000,25-Sep-20
LILY LAKE,,NW7-75-5-W5,55.483333,-114.766667,TGTR,Beitty/Bow River,3N,22.8,325,07-Oct-20
LILY LAKE,,NW7-75-5-W5,55.483333,-114.766667,BKTR,Beitty Resort,3N,14.57,3660,07-Oct-20
LITTLE BEAR LAKE,HASSE LAKE,NW19-64-2-W4,54.551596,-110.300937,RNTR,Pit Lakes,2N,15.66,5000,15-May-20
LITTLE BEAR LAKE,HASSE LAKE,NW19-64-2-W4,54.551596,-110.300937,RNTR,Campbell Lake,2N,17.68,5000,15-May-20
LITTLE BEAR LAKE,HASSE LAKE,NW19-64-2-W4,54.551596,-110.300937,BKTR,Beitty Resort,3N,20.1,2200,15-May-20
LITTLE BEAR LAKE,HASSE LAKE,NW19-64-2-W4,54.551596,-110.300937,TGTR,Beitty/Bow River,3N,22,2213,18-Jun-20
LITTLE BEAR LAKE,HASSE LAKE,NW19-64-2-W4,54.551596,-110.300937,RNTR,Trout Lodge/Kamloops,AF2N,24.12,2390,18-Sep-20
LITTLE BEAR LAKE,HASSE LAKE,NW19-64-2-W4,54.551596,-110.300937,RNTR,Trout Lodge/Kamloops,AF2N,22.21,2610,18-Sep-20
LITTLE BEAR LAKE,HASSE LAKE,NW19-64-2-W4,54.551596,-110.300937,TGTR,Beitty/Bow River,3N,9.65,5000,18-Sep-20
MARGARET LAKE,,NW15-28-9-W5,51.401845,-115.185439,RNTR,Trout Lodge/Jumpers,AF3N,20.4,3067,19-Jun-20
MARIGOLD LAKE,,NW32-65-11-W5,54.671776,-115.628279,BKTR,Beitty Resort,3N,14.57,7000,07-Oct-20
MARY GREGG LAKE,,NW4-48-24-W5,53.112602,-117.454064,RNTR,Trout Lodge/Kamloops,AF3N,15.1,4000,01-Jun-20
MCLEAN POND,,NW20-22-5-W5,50.888074,-114.669068,RNTR,Trout Lodge/Jumpers,AF3N,20,3600,26-May-20
MCLEAN POND,,NW20-22-5-W5,50.888074,-114.669068,RNTR,Trout Lodge/Jumpers,AF3N,20.5,3500,07-Jul-20
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Trout Lodge/Kamloops,AF3N,14.64,26500,11-May-20
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Trout Lodge/Kamloops,AF3N,14.3,26500,12-May-20
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Trout Lodge/Kamloops,AF3N,14.3,27000,13-May-20
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Trout Lodge/Kamloops,AF3N,13.8,30000,02-Jun-20
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Campbell Lake,3N,13.8,16050,17-Sep-20
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Campbell Lake,3N,13.02,25350,21-Sep-20
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Campbell Lake,3N,15.3,20000,24-Sep-20
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Campbell Lake,3N,21.02,3855,06-Oct-20
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Trout Lodge/Kamloops,AF2N,22.21,5000,14-Oct-20
