Stocking Date,Waterbody ID,Water Type,Waterbody Official Name,Waterbody Common Name,District,Latitude,Longitude,Waterbody ATS,Species Code,Species Common Name,Number,Average Length,Average Weight,Genotype,Strain,Station
2021-04-14,6873,Lentic,UNNAMED,BROOKS AQUADUCT POND,BROOKS,50.524756,-111.843722,NE15-18-14-W4,RNTR,RAINBOW TROUT,11000,17.7,61.6,2N,Campbell Lake,Sam Livingston
2021-05-14,6873,Lentic,UNNAMED,BROOKS AQUADUCT POND,BROOKS,50.524756,-111.843722,NE15-18-14-W4,RNTR,RAINBOW TROUT,75,45,820,2N,Pit Lake,Allison Creek
2022-04-22,,,Brooks Aquaduct Pond,,,,,NE15-18-14-W4,RNTR,,10000,20.8,,2N,Campbell Lake,
2020-05-12,,,PEANUT LAKE,,,54.017399,-114.352591,NE15-58-3-W5,BKTR,,3500,20.54,,3N,Beitty Resort,
2020-10-01,,,PEANUT LAKE,,,54.017399,-114.352591,NE15-58-3-W5,RNTR,,7385,21.96,,AF2N,Trout Lodge/Kamloops,
2020-10-01,,,PEANUT LAKE,,,54.017399,-114.352591,NE15-58-3-W5,RNTR,,7615,21.74,,AF2N,Trout Lodge/Kamloops,
2021-05-21,5538,Lentic,PEANUT LAKE,,BARRHEAD,54.017399,-114.352591,NE15-58-3-W5,BKTR,BROOK TROUT,5000,18.6,71,3N,Beitty Resort,Cold Lake
2022-05-11,,,Peanut Lake,,,,,NE15-58-3-W5,BKTR,,5000,19.4,,3N,Beitty Resort,
2020-05-21,,,BEAVER LAKE,,,52.006721,-114.788387,NE16-35-6-W5,RNTR,,2500,21.3,,AF3N,Trout Lodge/Jumpers,
2020-09-02,,,BEAVER LAKE,,,52.006721,-114.788387,NE16-35-6-W5,TGTR,,500,16.9,,3N,Beitty/Bow River,
2020-09-02,,,BEAVER LAKE,,,52.006721,-114.788387,NE16-35-6-W5,TGTR,,500,20,,3N,Beitty/Bow River,
2021-05-07,4014,Lentic,BEAVER LAKE,,SUNDRE,52.006721,-114.788387,NE16-35-6-W5,RNTR,RAINBOW TROUT,2500,21.9,115.7,AF3N,Trout Lodge/Jumpers,Sam Livingston
2022-05-18,,,Beaver Lake,,,,,NE16-35-6-W5,RNTR,,2500,19.4,,AF3N,Trout Lodge/Jumpers,
2022-09-20,,,Beaver Lake,,,,,NE16-35-6-W5,TGTR,,1000,21.3,,3N,Beitty/Bow River,
2020-05-12,,,UNNAMED,BOYLE POND,,54.537414,-112.80524,NE16-64-19-W4,RNTR,,2200,20.1,,AF3N,Trout Lodge/Jumpers,
2021-05-05,6884,Lentic,UNNAMED,BOYLE POND,ATHABASCA,54.537414,-112.80524,NE16-64-19-W4,RNTR,RAINBOW TROUT,2200,20.3,93.1,AF3N,Trout Lodge/Jumpers,Cold Lake - ACA
2022-05-19,,,Boyle Pond,,,,,NE16-64-19-W4,RNTR,,2200,20.4,,AF2N,Trout Lodge/Jumpers,
2020-05-26,,,UNNAMED,NARDAM LAKE,,55.762438,-118.725502,NE17-78-5-W6,RNTR,,500,20.1,,AF2N,Trout Lodge/Jumpers,
2021-05-18,6732,Lentic,UNNAMED,NARDAM LAKE,SPIRIT RIVER,55.762438,-118.725502,NE17-78-5-W6,RNTR,RAINBOW TROUT,500,18.9,74.8,AF2N,Trout Lodge/Jumpers,Cold Lake
2022-05-25,,,Nardam Lake,,,,,NE17-78-5-W6,RNTR,,500,20.4,,AF2N,Trout Lodge/Jumpers,
2020-05-20,,,UNNAMED,HIGHWAY 686 POND,,56.372419,-116.954587,NE17-85-19-W5,RNTR,,500,19.8,,AF2N,Trout Lodge/Jumpers,
2021-05-13,6795,Lentic,UNNAMED,HIGHWAY 686 POND,PEACE RIVER,56.372419,-116.954587,NE17-85-19-W5,RNTR,RAINBOW TROUT,500,19.1,77.4,AF2N,Trout Lodge/Jumpers,Cold Lake
2022-05-17,,,Highway 686 Pond,,,,,NE17-85-19-W5,RNTR,,500,21.9,,AF2N,Trout Lodge/Jumpers,
2021-05-06,417506,Lentic,UNNAMED,BOULDER LAKE,N/A,52.355924,-113.871506,NE18-39-27-W4,RNTR,RAINBOW TROUT,1800,21.1,97.51,AF3N,Trout Lodge/Kamloops,Smoky Trout Farm
2021-05-12,417506,Lentic,UNNAMED,BOULDER LAKE,N/A,52.355924,-113.871506,NE18-39-27-W4,TGTR,TIGER TROUT,200,16.3,47.8,3N,Beitty/Bow River,Cold Lake - ACA
2022-05-02,,,Boulder Lake,,,,,NE18-39-27-W4,TGTR,,200,17.7,,3N,Beitty/Bow River,
2022-05-16,,,Boulder Lake,,,,,NE18-39-27-W4,RNTR,,1800,20.7,,AF3N,Trout Lodge/Kamloops,
2022-05-16,,,Boulder Lake,,,,,NE18-39-27-W4,RNTR,,200,30,,AF3N,Trout Lodge/Kamloops,
2022-06-13,,,Boulder Lake,,,,,NE18-39-27-W4,RNTR,,1500,20.6,,AF3N,Trout Lodge/Kamloops,
2022-09-14,,,Boulder Lake,,,,,NE18-39-27-W4,RNTR,,1300,22.2,,AF3N,Trout Lodge/Kamloops,
2022-09-14,,,Boulder Lake,,,,,NE18-39-27-W4,TGTR,,400,11.8,,3N,Beitty/Bow River,
2020-05-06,,,UNNAMED,HERMITAGE PARK POND,,53.581702,-113.371337,NE18-53-23-W4,RNTR,,1565,20.08,,AF3N,Trout Lodge/Jumpers,
2020-05-06,,,UNNAMED,HERMITAGE PARK POND,,53.581702,-113.371337,NE18-53-23-W4,BNTR,,300,20.45,,3N,Bow River,
