Lake_Name,Common_Name,ATS_Location,Species_Code,Strain,Genotype,Avg_Length,Quantity_Stocked,Stocking_Date
Irma Fish and,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,200,
Kerbe's Pond,,ATS_EXTRACTION_ERROR,TGTR,Beitty/Bow River,3N,,1000,
Kerbe's Pond,,ATS_EXTRACTION_ERROR,BNTR,Bow River,3N,,250,
Kerbe's Pond,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,1000,
Kids Can Catch,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,15,
Mclaren's,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,4200,
Mclaren's,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,1400,
McQuillan,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF2N,,2000,
McVinnie,,ATS_EXTRACTION_ERROR,TGTR,Beitty/Bow River,3N,,400,
McVinnie,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF2N,,1155,
Mitford Ponds,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,350,
Mitford Ponds,,ATS_EXTRACTION_ERROR,BNTR,Bow River,3N,,61,
Nicholas Sheran,,ATS_EXTRACTION_ERROR,BKTR,Beitty Resort,2N,,130,
Nicholas Sheran,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,2000,
Nicholas Sheran,,ATS_EXTRACTION_ERROR,BKTR,Beitty Resort,3N,,2000,
Nicholas Sheran,,ATS_EXTRACTION_ERROR,BNTR,Bow River,3N,,2000,
Nicholas Sheran,,ATS_EXTRACTION_ERROR,BNTR,Bow River,2N,,50,
Nose Creek Pond,,ATS_EXTRACTION_ERROR,RNTR,Trout Lodge/Kamloops,AF3N,,350,
Pine Coulee,,ATS_EXTRACTION_ERROR,RNTR,Trout Lodge/Jumpers,AF3N,,5000,
Pleasure Island,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,200,
Pleasure Island,,ATS_EXTRACTION_ERROR,BKTR,Beitty Resort,3N,,1070,
Pleasure Island,,ATS_EXTRACTION_ERROR,TGTR,Beitty/Bow River,3N,,200,
Pleasure Island,,ATS_EXTRACTION_ERROR,BNTR,Bow River,3N,,160,
Riverstone Pond,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,1830,
Severn Creek,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF2N,,4200,
Severn Creek,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,1400,
Spring Coulee,,ATS_EXTRACTION_ERROR,RNTR,Trout Lodge/Jumpers,AF3N,,2500,
Telegraph Park,,ATS_EXTRACTION_ERROR,BNTR,Bow River,3N,,193,
Telegraph Park,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,200,
Telegraph Park,,ATS_EXTRACTION_ERROR,BKTR,Beitty Resort,3N,,1200,
