Lake_Name,ATS_Location,Species_Code,Strain,Genotype,Avg_Length,Quantity_Stocked,Stocking_Date
Schuman Lake,SE35-61-8-W5,TGTR,Bow River,3N,20.1,500,19-05-2026
Shell True North Pond,SW10-79-8-W6,TGTR,Bow River,3N,23.1,50,08-05-2026
Spring Lake (Cottage),SW30-52-1-W5,TGTR,Bow River,3N,20.9,1500,07-05-2026
St. Paul Fish Pond,SE9-58-9-W4,TGTR,Bow River,3N,23.1,300,13-05-2026
St. Paul Fish Pond,SE9-58-9-W4,TGTR,Bow River,3N,22.8,300,08-06-2026
Star Lake,NE19-52-2-W5,TGTR,Bow River,3N,17.8,1000,11-05-2026
Strathmore Children's Pond,SW14-24-25-W4,TGTR,Bow River,3N,18.3,150,09-05-2026
Twin Lakes (East Twin,NE29-97-22-W5,TGTR,Bow River,3N,22.5,1000,03-06-2026
West Rivers Edge Pond,NE23-54-23-W4,TGTR,Bow River,3N,17.3,200,05-05-2026
West Rivers Edge Pond,NE23-54-23-W4,TGTR,Bow River,3N,17.3,250,05-05-2026
West Rivers Edge Pond,NE23-54-23-W4,BNTR,Bow River,3N,17.7,250,05-05-2026
Beaumont Pond,NW27-50-24-W4,BNTR,Bow River x Beitty,3N,18.2,1141,07-05-2026
Birch Lake,SE18-35-6-W5,BNTR,Bow River x Beitty,3N,19.1,500,21-05-2026
Cardiff Park Pond,SW24-55-25-W4,BNTR,Bow River x Beitty,3N,18.2,500,08-05-2026
Corner Lake,NW4-6-20-W4,BNTR,Bow River x Beitty,2N,42.1,50,24-04-2026
Coronation Reservoir,SW24-36-11-W4,BNTR,Bow River x Beitty,3N,17.6,1000,27-04-2026
Dewitt's Pond,SE31-26-1-W5,BNTR,Bow River x Beitty,3N,18.4,1345,30-04-2026
Dewitt's Pond,SE31-26-1-W5,BNTR,Bow River x Beitty,3N,18.4,1250,30-04-2026
Dolberg Lake,SE1-60-8-W5,BNTR,Bow River x Beitty,3N,20.1,2000,22-05-2026
